Report_Lab7,,,,,,,,
Property,OfficeBaza_Kartava (530707370),,,,,Data accuracy, ,
Date range,2026-03-31 - 2026-04-30,,,,,Cardinality,No,
Last run,2026-04-25 10:38:54,,,,,Thresholding,Yes,
Total rows,48,,,,,Sampling,No,
Rows returned,48,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Totals,,,,,,,,
firstSessionDate,audienceId,audienceName,date,activeUsers,totalUsers,averageSessionDuration,sessions,keyEvents:view_contacts
--,--,--,--,85,85,"375,2507388",119,36
,,,,,,,,
,,,,,,,,
firstSessionDate,audienceId,audienceName,date,activeUsers,totalUsers,averageSessionDuration,sessions,keyEvents:view_contacts
20260404,14286745517,All Users,2026-04-04,21,21,"1,807443286",21,0
20260410,14286745517,All Users,2026-04-10,18,18,"156,4488014",19,2
20260331,14286745517,All Users,2026-03-31,10,10,"83,42529192",13,0
20260403,14286745517,All Users,2026-04-03,6,6,"58,40027467",6,0
20260414,14286745517,All Users,2026-04-14,6,6,"0,73218",6,0
20260402,14286745517,All Users,2026-04-02,5,5,"1,0553644",5,0
20260405,14286745517,All Users,2026-04-05,3,3,"15,69385167",3,0
20260331,14286745517,All Users,2026-04-09,2,2,"1259,810323",4,6
20260331,14286745517,All Users,2026-04-10,2,2,"1452,640711",7,6
20260331,14338077260,"користувачі, що хочуть дізнатись більше",2026-04-09,2,2,"1235,459108",4,6
20260331,14338077260,"користувачі, що хочуть дізнатись більше",2026-04-10,2,2,"1452,640711",7,6
20260406,14286745517,All Users,2026-04-06,2,2,"16,114726",2,0
20260408,14286745517,All Users,2026-04-08,2,2,"1,613019",2,0
20260409,14286745517,All Users,2026-04-09,2,2,"5,612055",2,0
20260410,14338077260,"користувачі, що хочуть дізнатись більше",2026-04-10,2,2,"262,3395733",3,2
20260411,14286745517,All Users,2026-04-11,2,2,"3,629576",2,0
20260420,14286745517,All Users,2026-04-20,2,2,"1,517377",2,2
20260424,14286745517,All Users,2026-04-24,2,2,"0,92211",2,0
(not set),14286745517,All Users,2026-04-05,1,1,"0,036953",1,0
20260331,14286745517,All Users,2026-04-02,1,1,"60,679513",1,0
20260331,14286745517,All Users,2026-04-03,1,1,"314,8569765",4,0
20260331,14286745517,All Users,2026-04-04,1,1,"4,944212",1,0
20260331,14286745517,All Users,2026-04-11,1,1,"16,38451",1,0
20260331,14286745517,All Users,2026-04-14,1,1,"100,75557",1,0
20260331,14286745517,All Users,2026-04-19,1,1,"9,293325",1,0
20260331,14338077260,"користувачі, що хочуть дізнатись більше",2026-04-11,1,1,"16,38451",1,0
20260331,14338077260,"користувачі, що хочуть дізнатись більше",2026-04-14,1,1,"100,75557",1,0
20260331,14338077260,"користувачі, що хочуть дізнатись більше",2026-04-19,1,1,"9,293325",1,0
20260331,14375948518,Покупці в Києві,2026-04-19,1,1,"9,293325",1,0
20260401,14286745517,All Users,2026-04-01,1,1,"4,99223",1,0
20260403,14286745517,All Users,2026-04-08,1,1,"4,82996",1,0
20260403,14286745517,All Users,2026-04-10,1,1,"1162,893734",3,2
20260403,14338077260,"користувачі, що хочуть дізнатись більше",2026-04-10,1,1,"1162,893734",3,2
20260405,14286745517,All Users,2026-04-10,1,1,"171,597732",1,0
20260405,14286745517,All Users,2026-04-11,1,1,"13,308435",1,1
20260405,14286745517,All Users,2026-04-15,1,1,"9,747103",1,0
20260405,14286745517,All Users,2026-04-24,1,1,"4,124624",1,0
20260405,14338077260,"користувачі, що хочуть дізнатись більше",2026-04-10,1,1,"171,597732",1,0
20260405,14338077260,"користувачі, що хочуть дізнатись більше",2026-04-11,1,1,"13,308435",1,1
20260405,14338077260,"користувачі, що хочуть дізнатись більше",2026-04-15,1,1,"9,747103",1,0
20260405,14338077260,"користувачі, що хочуть дізнатись більше",2026-04-24,1,1,"4,124624",1,0
20260412,14286745517,All Users,2026-04-12,1,1,"4,997235",1,0
20260415,14286745517,All Users,2026-04-15,1,1,"6,798",1,0
20260419,14286745517,All Users,2026-04-19,1,1,"5,004029",1,0
20260403,14286745517,All Users,2026-04-11,0,1,0,1,0
20260403,14338077260,"користувачі, що хочуть дізнатись більше",2026-04-11,0,1,0,1,0
20260405,14286745517,All Users,2026-04-16,0,1,0,1,0
20260405,14338077260,"користувачі, що хочуть дізнатись більше",2026-04-16,0,1,0,1,0